W d=1mm
0.2 10 mg d=5mg
0.3 23
0.4 41
0.5 63
0.6 93
0.7 119
0.8 151
0.9 183
1.0 218
1.1 246
1.0 224
0.9 194
0.8 159
0.7 125
0.6 96
0.5 66
0.4 44
0.3 26
0.2 12
Cu d=1mm
0.2 -1
0.3 -2
0.4 -4
0.5 -7
0.6 -10
0.7 -14
0.8 -18
0.9 -22
1.0 -26
1.1 -30
1.0 -27
0.9 -23
0.8 -19
0.7 -15
0.6 -12
0.5 -8
0.4 -5
0.3 -3
0.2 -2
C1 d=0.86mm
0.2 -14
0.3 -29
0.4 -53
0.5 -81
0.6 -117
0.7 -157
0.8 -200
0.9 -243
1.0 -291
1.1 -333
1.0 -300
0.9 -256
0.8 -209
0.7 -164
0.6 -123
0.5 -87
0.4 -57
0.3 -32
0.2 -14
Al d=10mm
0.2 3
0.3 6
0.4 11
0.5 17
0.6 24
0.7 32
0.8 40
0.9 49
1.0 59
1.1 65
1.0 59
0.9 51
0.8 43
0.7 34
0.6 25
0.5 19
0.4 12
0.3 7
0.2 4

